player_id,balls,runs,fours,sixes,dismissals,innings_count,balls_powerplay,runs_powerplay,balls_middle,runs_middle,balls_death,runs_death,sr_overall,sr_powerplay,sr_middle,sr_death,boundary_pct_overall,not_out_rate
3374,111,110,0,0,0,7,61,54,50,56,0,0,99.09909909909909,88.52459016393442,112.00000000000001,0.0,0.0,1.0
6819,277,440,0,0,0,15,203,329,70,106,4,5,158.84476534296027,162.06896551724137,151.42857142857142,125.0,0.0,1.0
4260,137,198,0,0,0,9,16,8,108,167,13,23,144.52554744525548,50.0,154.62962962962962,176.9230769230769,0.0,1.0
6931,323,421,0,0,0,12,168,200,133,180,22,41,130.34055727554178,119.04761904761905,135.33834586466165,186.36363636363635,0.0,1.0
5553,64,95,0,0,0,6,50,79,14,16,0,0,148.4375,158.0,114.28571428571428,0.0,0.0,1.0
4117,602,703,0,0,0,27,358,362,220,305,24,36,116.77740863787376,101.1173184357542,138.63636363636365,150.0,0.0,1.0
1568,54,61,0,0,0,1,20,12,24,32,10,17,112.96296296296295,60.0,133.33333333333331,170.0,0.0,1.0
3330,765,1008,0,0,0,46,55,70,396,436,314,502,131.76470588235293,127.27272727272727,110.1010101010101,159.87261146496817,0.0,1.0
4703,353,439,0,0,0,24,76,98,177,198,100,143,124.36260623229462,128.94736842105263,111.86440677966101,143.0,0.0,1.0
6396,175,255,0,0,0,11,17,28,115,158,43,69,145.7142857142857,164.70588235294116,137.3913043478261,160.46511627906978,0.0,1.0
1941,124,148,0,0,0,5,56,57,55,81,13,10,119.35483870967742,101.78571428571428,147.27272727272725,76.92307692307693,0.0,1.0
3673,24,17,0,0,0,3,0,0,0,0,24,17,70.83333333333334,0.0,0.0,70.83333333333334,0.0,1.0
6160,75,82,0,0,0,7,0,0,26,21,49,61,109.33333333333333,0.0,80.76923076923077,124.48979591836735,0.0,1.0
5944,9,7,0,0,0,3,0,0,0,0,9,7,77.77777777777779,0.0,0.0,77.77777777777779,0.0,1.0
2876,354,461,0,0,0,33,11,13,126,167,217,281,130.22598870056495,118.18181818181819,132.53968253968253,129.4930875576037,0.0,1.0
7897,674,938,0,0,0,29,163,221,369,488,142,229,139.16913946587536,135.58282208588957,132.24932249322495,161.26760563380282,0.0,1.0
4895,162,190,0,0,0,12,24,16,101,138,37,36,117.28395061728396,66.66666666666666,136.63366336633663,97.2972972972973,0.0,1.0
126,573,820,0,0,0,29,344,478,205,276,24,66,143.1064572425829,138.95348837209303,134.63414634146343,275.0,0.0,1.0
4736,133,196,0,0,0,8,37,34,88,146,8,16,147.36842105263156,91.8918918918919,165.9090909090909,200.0,0.0,1.0
143,187,268,0,0,0,17,17,33,46,46,124,189,143.31550802139037,194.11764705882354,100.0,152.41935483870967,0.0,1.0
6628,34,56,0,0,0,4,0,0,11,21,23,35,164.70588235294116,0.0,190.9090909090909,152.17391304347828,0.0,1.0
4391,102,131,0,0,0,8,16,24,60,58,26,49,128.4313725490196,150.0,96.66666666666667,188.46153846153845,0.0,1.0
2661,29,33,0,0,0,2,29,33,0,0,0,0,113.79310344827587,113.79310344827587,0.0,0.0,0.0,1.0
3125,333,441,0,0,0,13,86,155,213,233,34,53,132.43243243243242,180.2325581395349,109.38967136150235,155.88235294117646,0.0,1.0
4840,27,23,0,0,0,5,0,0,5,0,22,23,85.18518518518519,0.0,0.0,104.54545454545455,0.0,1.0
3647,415,554,0,0,0,21,116,135,235,323,64,96,133.49397590361446,116.37931034482759,137.4468085106383,150.0,0.0,1.0
796,123,217,0,0,0,7,12,19,26,35,85,163,176.42276422764226,158.33333333333331,134.6153846153846,191.76470588235296,0.0,1.0
1699,1377,2177,0,0,0,70,387,534,802,1236,188,407,158.09731299927378,137.984496124031,154.1147132169576,216.48936170212764,0.0,1.0
274,94,152,0,0,0,3,43,72,42,64,9,16,161.70212765957444,167.4418604651163,152.38095238095238,177.77777777777777,0.0,1.0
2258,503,724,0,0,0,31,201,247,253,417,49,60,143.93638170974154,122.88557213930349,164.82213438735178,122.44897959183673,0.0,1.0
4708,282,415,0,0,0,19,24,31,141,185,117,199,147.16312056737587,129.16666666666669,131.20567375886526,170.0854700854701,0.0,1.0
3672,196,259,0,0,0,9,124,150,70,107,2,2,132.14285714285714,120.96774193548387,152.85714285714283,100.0,0.0,1.0
953,312,386,0,0,0,12,177,192,131,186,4,8,123.71794871794873,108.47457627118644,141.98473282442748,200.0,0.0,1.0
29888,43,48,0,0,0,2,0,0,33,35,10,13,111.62790697674419,0.0,106.06060606060606,130.0,0.0,1.0
3383,31,30,0,0,0,1,0,0,24,26,7,4,96.7741935483871,0.0,108.33333333333333,57.14285714285714,0.0,1.0
8424,4,2,0,0,0,1,0,0,0,0,4,2,50.0,0.0,0.0,50.0,0.0,1.0
4986,203,280,0,0,0,12,23,33,111,124,69,123,137.93103448275863,143.47826086956522,111.7117117117117,178.26086956521738,0.0,1.0
4847,47,52,0,0,0,5,47,52,0,0,0,0,110.63829787234043,110.63829787234043,0.0,0.0,0.0,1.0
6281,479,888,0,0,0,24,329,617,129,228,21,43,185.38622129436325,187.53799392097264,176.74418604651163,204.76190476190476,0.0,1.0
