player_id,wk_slope
1018,
1028,4.999999999999998
1039,
1045,
107,
1071,0.6000000000000001
1089,1.0
1107,2.3000000000000003
1109,3.999999999999999
1114,
117,
1171,-1.4999999999999998
1195,-7.850462293418875e-17
1219,-6.2803698347351e-16
126,
1280,
1318,-2.4999999999999996
1327,
1382,
1389,1.2999999999999998
1406,
143,
1440,
147,-2.9999999999999987
1486,
1487,3.3999999999999995
1497,-2.9999999999999996
1512,1.2000000000000006
1519,
15197,
15198,0.9999999999999998
15199,
152,-0.8999999999999999
15228,1.6666666666666665
15229,
1532,-1.4999999999999993
1541,
1566,-3.0999999999999996
1570,
158,-0.5999999999999999
159,0.23076923076923084
1596,-2.5999999999999996
1600,3.499999999999999
1609,
161,-14.999999999999996
1612,-4.699999999999999
1617,-1.7000000000000002
1621,
1622,
1633,-2.9999999999999996
164,2.9999999999999996
1677,0.0
1679,
1682,0.7142857142857143
1684,
1685,4.999999999999998
1699,-1.9999999999999996
1701,0.19999999999999987
1704,
1706,0.0
1711,
1712,
1713,
172,
1727,0.5
175,3.999999999999999
1758,1.5
1772,-1.9999999999999996
17898,-0.9999999999999998
17911,0.0
17919,
17937,
18097,
18108,
1811,
1813,-0.4000000000000001
1814,
18154,-0.9999999999999997
18166,
1819,
1827,
1828,1.9999999999999996
1829,-1.4999999999999998
1836,1.9999999999999996
1842,
18598,-3.4999999999999982
1860,9.999999999999996
1884,-1.9999999999999996
1885,
1886,-0.9999999999999998
189,
1895,
19020,-0.9999999999999998
19062,
19072,
19093,-3.999999999999999
19096,-2.9999999999999996
19097,-0.9999999999999998
19103,
19107,
19108,1.9999999999999996
19112,1.9999999999999993
19124,
19125,0.8571428571428571
19126,2.9999999999999996
19141,7.999999999999998
19145,0.7857142857142859
19148,9.999999999999996
19150,
1923,
19312,4.285714285714285
19315,3.14018491736755e-16
19316,2.9000000000000004
19401,
19402,
19403,
19404,1.1538461538461542
19406,
19409,6.514285714285713
19412,
19414,
19416,-0.8846153846153847
19418,
19428,
19433,-0.4615384615384615
19435,-1.0
19436,
19437,
1944,0.5999999999999999
19440,-9.999999999999996
19441,0.0
19447,
19449,
19454,-1.5000000000000007
19457,
19458,0.7692307692307694
19459,-1.333333333333333
19460,-1.0
19461,-0.9999999999999998
19464,
19469,-0.4230769230769231
19470,-0.11538461538461549
19472,1.0
19475,
19476,-1.4230769230769231
19479,1.1999999999999997
19483,
19485,-0.24999999999999994
19489,
19491,-3.2307692307692304
19495,
19497,
19530,0.4999999999999999
19535,-0.8999999999999996
1955,-1.9999999999999996
19576,
19662,
19666,
19673,0.0
19676,
19683,0.9999999999999998
19685,7.999999999999998
19686,
19687,-0.4999999999999999
19691,
19695,-1.9999999999999996
19696,-0.9999999999999998
19697,
19700,4.499999999999998
19701,
19702,-6.999999999999998
19706,0.9999999999999998
19708,-2.9999999999999996
19710,8.999999999999996
19718,-3.999999999999999
19720,
19721,
19727,-5.999999999999999
19754,
19781,
198,
1980,
19806,4.999999999999998
19809,-0.9999999999999998
19854,
19856,
19857,-2.4999999999999996
19868,0.0
19870,0.0
1991,
19969,
19970,1.1999999999999997
19973,
19974,
19977,2.9999999999999987
19979,0.4999999999999999
19981,0.4999999999999998
19984,-1.9999999999999996
19985,13.999999999999996
19993,
19997,-1.9999999999999996
19998,2.4999999999999987
19999,
20003,
20005,0.4999999999999999
20006,2.7999999999999994
20011,0.49999999999999983
20012,0.0
20013,
20014,-2.9999999999999996
20015,
20017,2.9999999999999996
20018,-0.9999999999999998
20021,
20023,1.1
20024,1.4999999999999998
20026,-0.9999999999999998
20027,-0.4999999999999999
20028,-0.7499999999999999
20029,
20032,
20033,
20034,
20035,1.4999999999999998
20042,
20046,7.499999999999997
20049,
20052,
20055,
20057,
20062,0.9999999999999998
20068,
20069,-0.9999999999999996
20072,-0.9999999999999998
20073,-0.4999999999999999
20074,
20075,
